Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,298.000000,298.000000,298.000000,298.000000,298.000000,0
2019-01-02,290.000000,300.000000,282.000000,290.000000,290.000000,21777800
2019-01-03,284.000000,318.000000,284.000000,314.000000,314.000000,63800600
2019-01-04,314.000000,318.000000,308.000000,312.000000,312.000000,11019200
2019-01-07,312.000000,318.000000,306.000000,306.000000,306.000000,11115500
2019-01-08,306.000000,324.000000,306.000000,318.000000,318.000000,26779000
2019-01-09,318.000000,322.000000,316.000000,318.000000,318.000000,8222500
2019-01-10,318.000000,326.000000,316.000000,320.000000,320.000000,13849200
2019-01-11,322.000000,328.000000,320.000000,322.000000,322.000000,8633400
2019-01-14,322.000000,322.000000,308.000000,312.000000,312.000000,14397500
2019-01-15,312.000000,312.000000,306.000000,310.000000,310.000000,9440100
2019-01-16,310.000000,318.000000,306.000000,306.000000,306.000000,16421000
2019-01-17,306.000000,312.000000,294.000000,296.000000,296.000000,32974500
2019-01-18,296.000000,300.000000,288.000000,292.000000,292.000000,13689900
2019-01-21,292.000000,300.000000,284.000000,296.000000,296.000000,16061200
2019-01-22,298.000000,322.000000,296.000000,322.000000,322.000000,63700400
2019-01-23,324.000000,358.000000,324.000000,354.000000,354.000000,134956000
2019-01-24,356.000000,370.000000,342.000000,358.000000,358.000000,72878900
2019-01-25,358.000000,368.000000,352.000000,362.000000,362.000000,38399100
2019-01-28,362.000000,396.000000,360.000000,394.000000,394.000000,109616300
2019-01-29,396.000000,396.000000,382.000000,386.000000,386.000000,39554900
2019-01-30,386.000000,404.000000,378.000000,404.000000,404.000000,93581300
2019-01-31,404.000000,464.000000,404.000000,454.000000,454.000000,229913200
2019-02-01,454.000000,494.000000,450.000000,460.000000,460.000000,158684800
2019-02-04,464.000000,468.000000,454.000000,460.000000,460.000000,28702300
2019-02-05,460.000000,460.000000,460.000000,460.000000,460.000000,0
2019-02-06,460.000000,488.000000,458.000000,480.000000,480.000000,79246300
2019-02-07,480.000000,498.000000,468.000000,496.000000,496.000000,112350900
2019-02-08,498.000000,520.000000,486.000000,492.000000,492.000000,124638000
2019-02-11,492.000000,505.000000,460.000000,464.000000,464.000000,68712400
2019-02-12,466.000000,476.000000,426.000000,458.000000,458.000000,102637800
2019-02-13,466.000000,482.000000,458.000000,476.000000,476.000000,95851000
2019-02-14,480.000000,480.000000,436.000000,442.000000,442.000000,100217700
2019-02-15,442.000000,454.000000,424.000000,432.000000,432.000000,47159700
2019-02-18,432.000000,448.000000,424.000000,426.000000,426.000000,31006800
2019-02-19,426.000000,476.000000,426.000000,474.000000,474.000000,81639500
2019-02-20,480.000000,505.000000,468.000000,482.000000,482.000000,141440300
2019-02-21,486.000000,490.000000,462.000000,464.000000,464.000000,37856100
2019-02-22,464.000000,505.000000,464.000000,496.000000,496.000000,103066500
2019-02-25,500.000000,500.000000,478.000000,488.000000,488.000000,48569400
2019-02-26,488.000000,494.000000,480.000000,484.000000,484.000000,25185000
2019-02-27,484.000000,525.000000,484.000000,520.000000,520.000000,182103500
2019-02-28,520.000000,560.000000,496.000000,545.000000,545.000000,215404500
2019-03-01,555.000000,585.000000,545.000000,555.000000,555.000000,93905000
2019-03-04,555.000000,575.000000,530.000000,565.000000,565.000000,62252000
2019-03-05,565.000000,570.000000,545.000000,560.000000,560.000000,24930300
2019-03-06,560.000000,635.000000,530.000000,630.000000,630.000000,228030800
2019-03-07,630.000000,630.000000,630.000000,630.000000,630.000000,0
2019-03-08,635.000000,635.000000,595.000000,615.000000,615.000000,83883600
2019-03-11,615.000000,625.000000,590.000000,600.000000,600.000000,34547500
2019-03-12,600.000000,615.000000,590.000000,600.000000,600.000000,32890800
2019-03-13,590.000000,615.000000,565.000000,605.000000,605.000000,39627000
2019-03-14,595.000000,610.000000,585.000000,595.000000,595.000000,26153200
2019-03-15,590.000000,600.000000,575.000000,590.000000,590.000000,22277300
2019-03-18,580.000000,615.000000,575.000000,605.000000,605.000000,42472400
2019-03-19,615.000000,620.000000,590.000000,595.000000,595.000000,23428000
2019-03-20,580.000000,600.000000,580.000000,585.000000,585.000000,12422900
2019-03-21,580.000000,590.000000,550.000000,555.000000,555.000000,44228100
2019-03-22,555.000000,560.000000,515.000000,550.000000,550.000000,69677600
2019-03-25,550.000000,560.000000,535.000000,540.000000,540.000000,35749800
2019-03-26,540.000000,555.000000,456.000000,456.000000,456.000000,293678800
2019-03-27,466.000000,490.000000,450.000000,488.000000,488.000000,181307000
2019-03-28,486.000000,492.000000,464.000000,480.000000,480.000000,73918600
2019-03-29,482.000000,482.000000,468.000000,476.000000,476.000000,18743000
2019-04-01,474.000000,500.000000,468.000000,492.000000,492.000000,47457200
2019-04-02,496.000000,510.000000,488.000000,494.000000,494.000000,40040800
2019-04-03,494.000000,494.000000,494.000000,494.000000,494.000000,0
2019-04-04,494.000000,496.000000,466.000000,476.000000,476.000000,23704000
2019-04-05,468.000000,484.000000,466.000000,478.000000,478.000000,13121000
2019-04-08,476.000000,476.000000,440.000000,444.000000,444.000000,23682200
2019-04-09,450.000000,466.000000,434.000000,460.000000,460.000000,42233200
2019-04-10,456.000000,462.000000,446.000000,450.000000,450.000000,12447800
2019-04-11,450.000000,452.000000,436.000000,438.000000,438.000000,15167000
2019-04-12,446.000000,446.000000,426.000000,436.000000,436.000000,23263600
